kill date,kill year,kill month,NZDI,Animal Type,Transport distance (calculated),Processing location,lairage time (calculated),Presentation Grade,Grade,live weight,carcass weight,Teeth,Total number of defects,Yield,Animal Type_num,Grade_num,Presentation Grade_num,Age,Waste,price/kg,price
2021-03-11,2021,3,1.09,steer,172.0,A,16.5,A,P2,532.7,291.5,2.0,0,54.7,2,4,0,24.0,241.20000000000005,5.9,1719.8500000000001
2021-03-11,2021,3,1.09,steer,172.0,A,16.5,A,P2,589.5,309.5,4.0,0,52.5,2,4,0,30.0,280.0,5.9,1826.0500000000002
2021-05-05,2021,5,0.31,heifer,172.0,A,20.0,A,P2,492.6,257.0,2.0,1,52.2,1,4,0,24.0,235.60000000000002,5.6,1439.1999999999998
2021-05-05,2021,5,0.31,heifer,172.0,A,20.0,A,P2,492.6,273.0,4.0,0,55.4,1,4,0,30.0,219.60000000000002,5.6,1528.8
2021-05-05,2021,5,0.31,heifer,172.0,A,20.0,A,P2,411.8,218.5,1.0,0,53.1,1,4,0,17.9375,193.3,5.6,1223.6
2021-05-05,2021,5,0.31,heifer,172.0,A,20.0,A,P2,415.4,222.0,1.0,1,53.4,1,4,0,17.9375,193.39999999999998,5.6,1243.1999999999998
2021-05-05,2021,5,0.31,heifer,172.0,A,20.0,A,P2,416.0,232.5,2.0,0,55.9,1,4,0,24.0,183.5,5.6,1302.0
2021-05-05,2021,5,0.31,heifer,172.0,A,20.0,A,P2,424.8,225.0,1.0,3,53.0,1,4,0,17.9375,199.8,5.6,1260.0
2021-05-05,2021,5,0.31,heifer,172.0,A,20.0,A,P2,378.9,197.0,1.0,0,52.0,1,4,0,17.9375,181.89999999999998,5.6,1103.1999999999998
2021-08-09,2021,8,0.14,heifer,172.0,A,23.0,A,P2,410.7,227.0,1.0,0,55.3,1,4,0,17.9375,183.7,5.6,1271.1999999999998
2021-08-09,2021,8,0.14,heifer,172.0,A,23.0,A,P2,451.4,244.0,1.0,1,54.1,1,4,0,17.9375,207.39999999999998,5.6,1366.3999999999999
2021-08-09,2021,8,0.14,heifer,172.0,A,23.0,A,P2,559.3,309.5,2.0,0,55.3,1,4,0,24.0,249.79999999999995,5.6,1733.1999999999998
2021-08-09,2021,8,0.14,heifer,172.0,A,23.0,A,P2,456.1,253.0,1.0,0,55.5,1,4,0,17.9375,203.10000000000002,5.6,1416.8
2021-08-09,2021,8,0.14,heifer,172.0,A,23.0,A,P2,447.2,246.0,1.0,1,55.0,1,4,0,17.9375,201.2,5.6,1377.6
2021-08-09,2021,8,0.14,heifer,172.0,A,23.0,A,P2,436.8,237.5,1.0,0,54.4,1,4,0,17.9375,199.3,5.6,1330.0
2021-08-09,2021,8,0.14,heifer,172.0,A,23.0,A,P2,487.4,266.0,1.0,0,54.6,1,4,0,17.9375,221.39999999999998,5.6,1489.6
2021-08-09,2021,8,0.14,heifer,172.0,A,23.0,A,P2,458.7,236.0,1.0,0,51.4,1,4,0,17.9375,222.7,5.6,1321.6
2021-08-09,2021,8,0.14,heifer,172.0,A,23.0,A,P2,404.0,221.0,1.0,0,54.7,1,4,0,17.9375,183.0,5.6,1237.6
2021-08-09,2021,8,0.14,heifer,172.0,A,23.0,A,P2,425.9,235.5,1.0,0,55.3,1,4,0,17.9375,190.39999999999998,5.6,1318.8
2021-08-09,2021,8,0.14,heifer,172.0,A,23.0,A,P2,477.5,265.5,1.0,0,55.6,1,4,0,17.9375,212.0,5.6,1486.8
2021-08-09,2021,8,0.14,heifer,172.0,A,23.0,A,P2,472.8,263.0,1.0,0,55.6,1,4,0,17.9375,209.8,5.6,1472.8
2021-08-09,2021,8,0.14,heifer,172.0,A,23.0,A,P2,455.6,245.5,1.0,0,53.9,1,4,0,17.9375,210.10000000000002,5.6,1374.8
