animal_type,target,metric,horizon,improvement,se,df,pvalue,p_holm,lower,upper
steer,Total number of defects,Balanced accuracy,90,-0.01402092068109866,0.013189958094903727,4,0.3476980181104452,1.0,-0.08341404963109242,0.05537220826889511
steer,Total number of defects,Balanced accuracy,120,0.009090737775387391,0.06035543407490487,4,0.8875657214367177,1.0,-0.3084426758607756,0.3266241514115504
steer,carcass weight,MAE,90,-0.1562157388859653,0.5657905266820586,4,0.7961479383556729,1.0,-3.13287227518708,2.8204407974151495
steer,carcass weight,MAE,120,0.19351981810535185,0.4416819422385099,4,0.6839051179548875,1.0,-2.130194309878337,2.5172339460890405
steer,live weight,MAE,90,-0.43197853270098036,0.26809190783319203,4,0.18240385640284723,1.0,-1.8424254952206385,0.9784684298186777
steer,live weight,MAE,120,-0.9524636277443654,1.0205864816273882,4,0.40352216488404175,1.0,-6.321827867919892,4.416900612431161
steer,price,MAE,90,2.172055125801248,2.216478255115331,4,0.3825920438046713,1.0,-9.488964588241899,13.833074839844393
steer,price,MAE,120,5.101985862616502,2.884035559005284,4,0.1516085376856307,1.0,-10.071091261847387,20.27506298708039
