model_name,animal_type,target,measure (MAE/MSE),Cross-validation,evaluated_on (Train/Test),Error,n_rows,n_missing_feature_values,best_params
Dummy Regressor,cow,carcass weight,MAE,1,Test,31.96666666666666,46,1302,{}
Dummy Regressor,cow,carcass weight,MAE,2,Test,28.96546546546545,46,1302,{}
Dummy Regressor,cow,carcass weight,MAE,3,Test,35.65915915915916,46,1302,{}
Dummy Regressor,cow,carcass weight,MAE,4,Test,21.124624624624598,46,1302,{}
Dummy Regressor,cow,carcass weight,MAE,5,Test,16.794294294294293,46,1302,{}
Dummy Regressor,cow,carcass weight,MSE,1,Train,1045.7770061728395,46,1302,{}
Dummy Regressor,cow,carcass weight,MSE,2,Train,1010.8520818115412,46,1302,{}
Dummy Regressor,cow,carcass weight,MSE,3,Train,944.353542731921,46,1302,{}
Dummy Regressor,cow,carcass weight,MSE,4,Train,1250.8984660336014,46,1302,{}
Dummy Regressor,cow,carcass weight,MSE,5,Train,1281.8224981738495,46,1302,{}
Dummy Regressor,cow,carcass weight,MSE,1,Test,1552.5841049382711,46,1302,{}
Dummy Regressor,cow,carcass weight,MSE,2,Test,1654.1081283986678,46,1302,{}
Dummy Regressor,cow,carcass weight,MSE,3,Test,1856.255316126938,46,1302,{}
Dummy Regressor,cow,carcass weight,MSE,4,Test,674.5151976300614,46,1302,{}
Dummy Regressor,cow,carcass weight,MSE,5,Test,465.48606038470894,46,1302,{}
Dummy Regressor,steer,carcass weight,MAE,1,Train,17.65151024930748,594,4265,{}
Dummy Regressor,steer,carcass weight,MAE,2,Train,16.762903047091413,594,4265,{}
Dummy Regressor,steer,carcass weight,MAE,3,Train,17.21861495844875,594,4265,{}
Dummy Regressor,steer,carcass weight,MAE,4,Train,16.755430470914128,594,4265,{}
Dummy Regressor,steer,carcass weight,MAE,5,Train,17.053130075559636,594,4265,{}
Dummy Regressor,steer,carcass weight,MAE,1,Test,14.790738611233966,594,4265,{}
Dummy Regressor,steer,carcass weight,MAE,2,Test,18.38383900928793,594,4265,{}
Dummy Regressor,steer,carcass weight,MAE,3,Test,16.65064130915524,594,4265,{}
Dummy Regressor,steer,carcass weight,MAE,4,Test,18.40740380362671,594,4265,{}
Dummy Regressor,steer,carcass weight,MAE,5,Test,17.231323885486397,594,4265,{}
Dummy Regressor,steer,carcass weight,MSE,1,Train,497.99209307479225,594,4265,{}
Dummy Regressor,steer,carcass weight,MSE,2,Train,450.1719933518005,594,4265,{}
Dummy Regressor,steer,carcass weight,MSE,3,Train,481.736731301939,594,4265,{}
Dummy Regressor,steer,carcass weight,MSE,4,Train,464.1554304709141,594,4265,{}
Dummy Regressor,steer,carcass weight,MSE,5,Train,477.52119708177383,594,4265,{}
Dummy Regressor,steer,carcass weight,MSE,1,Test,381.7699104634651,594,4265,{}
Dummy Regressor,steer,carcass weight,MSE,2,Test,571.2214829861031,594,4265,{}
Dummy Regressor,steer,carcass weight,MSE,3,Test,446.40880164808294,594,4265,{}
Dummy Regressor,steer,carcass weight,MSE,4,Test,515.4049631602226,594,4265,{}
Dummy Regressor,steer,carcass weight,MSE,5,Test,461.9318633796989,594,4265,{}
Dummy Regressor,heifer,carcass weight,MAE,1,Train,14.238524684934672,233,3066,{}
Dummy Regressor,heifer,carcass weight,MAE,2,Train,13.778644930049717,233,3066,{}
Dummy Regressor,heifer,carcass weight,MAE,3,Train,13.938865764828304,233,3066,{}
Dummy Regressor,heifer,carcass weight,MAE,4,Train,14.693728731161887,233,3066,{}
Dummy Regressor,heifer,carcass weight,MAE,5,Train,13.79524721896537,233,3066,{}
Dummy Regressor,heifer,carcass weight,MAE,1,Test,13.616563715396934,233,3066,{}
Dummy Regressor,heifer,carcass weight,MAE,2,Test,15.371082132235182,233,3066,{}
Dummy Regressor,heifer,carcass weight,MAE,3,Test,14.64293067947838,233,3066,{}
Dummy Regressor,heifer,carcass weight,MAE,4,Test,11.733201581027668,233,3066,{}
Dummy Regressor,heifer,carcass weight,MAE,5,Test,15.213380609160659,233,3066,{}
Dummy Regressor,heifer,carcass weight,MSE,1,Train,334.07385246849344,233,3066,{}
Dummy Regressor,heifer,carcass weight,MSE,2,Train,333.5153196901376,233,3066,{}
Dummy Regressor,heifer,carcass weight,MSE,3,Train,338.02474997109493,233,3066,{}
Dummy Regressor,heifer,carcass weight,MSE,4,Train,357.866796305299,233,3066,{}
Dummy Regressor,heifer,carcass weight,MSE,5,Train,297.516557522377,233,3066,{}
Dummy Regressor,heifer,carcass weight,MSE,1,Test,326.1849555845836,233,3066,{}
Dummy Regressor,heifer,carcass weight,MSE,2,Test,327.7526967820655,233,3066,{}
Dummy Regressor,heifer,carcass weight,MSE,3,Test,310.2610827902869,233,3066,{}
Dummy Regressor,heifer,carcass weight,MSE,4,Test,229.04177146963713,233,3066,{}
Dummy Regressor,heifer,carcass weight,MSE,5,Test,475.44260895053634,233,3066,{}
Dummy Regressor,cow,price,MAE,1,Train,94.425,46,1302,{}
Dummy Regressor,cow,price,MAE,2,Train,100.62622352081812,46,1302,{}
Dummy Regressor,cow,price,MAE,3,Train,87.85967859751645,46,1302,{}
Dummy Regressor,cow,price,MAE,4,Train,105.8982468955442,46,1302,{}
Dummy Regressor,cow,price,MAE,5,Train,107.53608473338204,46,1302,{}
Dummy Regressor,cow,price,MAE,1,Test,113.85333333333332,46,1302,{}
Dummy Regressor,cow,price,MAE,2,Test,102.48558558558562,46,1302,{}
Dummy Regressor,cow,price,MAE,3,Test,148.05315315315318,46,1302,{}
Dummy Regressor,cow,price,MAE,4,Test,87.40540540540535,46,1302,{}
Dummy Regressor,cow,price,MAE,5,Test,68.27477477477478,46,1302,{}
Dummy Regressor,cow,price,MSE,1,Train,15662.679305555557,46,1302,{}
