Date(NZST),Time(NZST),MnDir(degT),MnSpd(mps),StdDir(degT),StdSpd(mps),MnTemp(C),MnRH(%),Rain(mm),RadGlb(MJ/m2),Average W/m2
05/08/2023,00:00:00,111,1.71,,,5.7,85,0.0,0.0,0.0
05/08/2023,00:10:00,111,1.71,,,5.7,85,0.0,0.0,0.0
05/08/2023,00:20:00,111,1.71,,,5.7,85,0.0,0.0,0.0
05/08/2023,00:30:00,111,1.71,,,5.7,85,0.0,0.0,0.0
05/08/2023,00:40:00,111,1.71,,,5.7,85,0.0,0.0,0.0
05/08/2023,00:50:00,111,1.71,,,5.7,85,0.0,0.0,0.0
05/08/2023,01:00:00,37,2.64,,,4.2,88,0.0,0.0,0.0
05/08/2023,01:10:00,37,2.64,,,4.2,88,0.0,0.0,0.0
05/08/2023,01:20:00,37,2.64,,,4.2,88,0.0,0.0,0.0
05/08/2023,01:30:00,37,2.64,,,4.2,88,0.0,0.0,0.0
05/08/2023,01:40:00,37,2.64,,,4.2,88,0.0,0.0,0.0
05/08/2023,01:50:00,37,2.64,,,4.2,88,0.0,0.0,0.0
05/08/2023,02:00:00,81,2.02,,,4.3,87,0.0,0.0,0.0
05/08/2023,02:10:00,81,2.02,,,4.3,87,0.0,0.0,0.0
05/08/2023,02:20:00,81,2.02,,,4.3,87,0.0,0.0,0.0
05/08/2023,02:30:00,81,2.02,,,4.3,87,0.0,0.0,0.0
05/08/2023,02:40:00,81,2.02,,,4.3,87,0.0,0.0,0.0
05/08/2023,02:50:00,81,2.02,,,4.3,87,0.0,0.0,0.0
05/08/2023,03:00:00,114,0.98,,,5.5,84,0.0,0.0,0.0
05/08/2023,03:10:00,114,0.98,,,5.5,84,0.0,0.0,0.0
05/08/2023,03:20:00,114,0.98,,,5.5,84,0.0,0.0,0.0
05/08/2023,03:30:00,114,0.98,,,5.5,84,0.0,0.0,0.0
05/08/2023,03:40:00,114,0.98,,,5.5,84,0.0,0.0,0.0
05/08/2023,03:50:00,114,0.98,,,5.5,84,0.0,0.0,0.0
05/08/2023,04:00:00,100,1.12,,,3.7,91,0.0,0.0,0.0
05/08/2023,04:10:00,100,1.12,,,3.7,91,0.0,0.0,0.0
05/08/2023,04:20:00,100,1.12,,,3.7,91,0.0,0.0,0.0
05/08/2023,04:30:00,100,1.12,,,3.7,91,0.0,0.0,0.0
05/08/2023,04:40:00,100,1.12,,,3.7,91,0.0,0.0,0.0
05/08/2023,04:50:00,100,1.12,,,3.7,91,0.0,0.0,0.0
05/08/2023,05:00:00,73,2.09,,,2.9,92,0.0,0.0,0.0
05/08/2023,05:10:00,73,2.09,,,2.9,92,0.0,0.0,0.0
05/08/2023,05:20:00,73,2.09,,,2.9,92,0.0,0.0,0.0
05/08/2023,05:30:00,73,2.09,,,2.9,92,0.0,0.0,0.0
05/08/2023,05:40:00,73,2.09,,,2.9,92,0.0,0.0,0.0
05/08/2023,05:50:00,73,2.09,,,2.9,92,0.0,0.0,0.0
05/08/2023,06:00:00,86,1.6,,,2.8,91,0.0,0.0,0.0
05/08/2023,06:10:00,86,1.6,,,2.8,91,0.0,0.0,0.0
05/08/2023,06:20:00,86,1.6,,,2.8,91,0.0,0.0,0.0
05/08/2023,06:30:00,86,1.6,,,2.8,91,0.0,0.0,0.0
05/08/2023,06:40:00,86,1.6,,,2.8,91,0.0,0.0,0.0
05/08/2023,06:50:00,86,1.6,,,2.8,91,0.0,0.0,0.0
05/08/2023,07:00:00,88,2.3,,,2.6,94,0.0,0.0,0.0
05/08/2023,07:10:00,88,2.3,,,2.6,94,0.0,0.0,0.0
05/08/2023,07:20:00,88,2.3,,,2.6,94,0.0,0.0,0.0
05/08/2023,07:30:00,88,2.3,,,2.6,94,0.0,0.0,0.0
05/08/2023,07:40:00,88,2.3,,,2.6,94,0.0,0.0,0.0
05/08/2023,07:50:00,88,2.3,,,2.6,94,0.0,0.0,0.0
05/08/2023,08:00:00,69,1.93,,,4.6,90,0.0,0.0078000000000000005,2.1666666666666665
05/08/2023,08:10:00,69,1.93,,,4.6,90,0.0,0.0078000000000000005,2.1666666666666665
05/08/2023,08:20:00,69,1.93,,,4.6,90,0.0,0.0078000000000000005,2.1666666666666665
05/08/2023,08:30:00,69,1.93,,,4.6,90,0.0,0.0078000000000000005,2.1666666666666665
05/08/2023,08:40:00,69,1.93,,,4.6,90,0.0,0.0078000000000000005,2.1666666666666665
05/08/2023,08:50:00,69,1.93,,,4.6,90,0.0,0.0078000000000000005,2.1666666666666665
05/08/2023,09:00:00,142,4.34,,,9.1,85,0.0,0.075,20.833333333333332
05/08/2023,09:10:00,142,4.34,,,9.1,85,0.0,0.075,20.833333333333332
05/08/2023,09:20:00,142,4.34,,,9.1,85,0.0,0.075,20.833333333333332
05/08/2023,09:30:00,142,4.34,,,9.1,85,0.0,0.075,20.833333333333332
05/08/2023,09:40:00,142,4.34,,,9.1,85,0.0,0.075,20.833333333333332
05/08/2023,09:50:00,142,4.34,,,9.1,85,0.0,0.075,20.833333333333332
05/08/2023,10:00:00,138,5.88,,,10.6,74,0.0,0.165,45.833333333333336
05/08/2023,10:10:00,138,5.88,,,10.6,74,0.0,0.165,45.833333333333336
05/08/2023,10:20:00,138,5.88,,,10.6,74,0.0,0.165,45.833333333333336
05/08/2023,10:30:00,138,5.88,,,10.6,74,0.0,0.165,45.833333333333336
05/08/2023,10:40:00,138,5.88,,,10.6,74,0.0,0.165,45.833333333333336
05/08/2023,10:50:00,138,5.88,,,10.6,74,0.0,0.165,45.833333333333336
05/08/2023,11:00:00,134,5.8,,,11.0,68,0.0,0.24960000000000002,69.33333333333333
05/08/2023,11:10:00,134,5.8,,,11.0,68,0.0,0.24960000000000002,69.33333333333333
05/08/2023,11:20:00,134,5.8,,,11.0,68,0.0,0.24960000000000002,69.33333333333333
05/08/2023,11:30:00,134,5.8,,,11.0,68,0.0,0.24960000000000002,69.33333333333333
05/08/2023,11:40:00,134,5.8,,,11.0,68,0.0,0.24960000000000002,69.33333333333333
05/08/2023,11:50:00,134,5.8,,,11.0,68,0.0,0.24960000000000002,69.33333333333333
05/08/2023,12:00:00,131,5.17,,,11.6,65,0.0,0.2736,76.0
05/08/2023,12:10:00,131,5.17,,,11.6,65,0.0,0.2736,76.0
05/08/2023,12:20:00,131,5.17,,,11.6,65,0.0,0.2736,76.0
05/08/2023,12:30:00,131,5.17,,,11.6,65,0.0,0.2736,76.0
05/08/2023,12:40:00,131,5.17,,,11.6,65,0.0,0.2736,76.0
05/08/2023,12:50:00,131,5.17,,,11.6,65,0.0,0.2736,76.0
05/08/2023,13:00:00,135,4.95,,,11.9,62,0.0,0.3024,84.0
05/08/2023,13:10:00,135,4.95,,,11.9,62,0.0,0.3024,84.0
05/08/2023,13:20:00,135,4.95,,,11.9,62,0.0,0.3024,84.0
05/08/2023,13:30:00,135,4.95,,,11.9,62,0.0,0.3024,84.0
05/08/2023,13:40:00,135,4.95,,,11.9,62,0.0,0.3024,84.0
05/08/2023,13:50:00,135,4.95,,,11.9,62,0.0,0.3024,84.0
05/08/2023,14:00:00,135,4.67,,,11.7,62,0.0,0.27899999999999997,77.5
05/08/2023,14:10:00,135,4.67,,,11.7,62,0.0,0.27899999999999997,77.5
05/08/2023,14:20:00,135,4.67,,,11.7,62,0.0,0.27899999999999997,77.5
05/08/2023,14:30:00,135,4.67,,,11.7,62,0.0,0.27899999999999997,77.5
05/08/2023,14:40:00,135,4.67,,,11.7,62,0.0,0.27899999999999997,77.5
05/08/2023,14:50:00,135,4.67,,,11.7,62,0.0,0.27899999999999997,77.5
05/08/2023,15:00:00,133,4.24,,,11.3,61,0.0,0.2106,58.5
05/08/2023,15:10:00,133,4.24,,,11.3,61,0.0,0.2106,58.5
05/08/2023,15:20:00,133,4.24,,,11.3,61,0.0,0.2106,58.5
05/08/2023,15:30:00,133,4.24,,,11.3,61,0.0,0.2106,58.5
05/08/2023,15:40:00,133,4.24,,,11.3,61,0.0,0.2106,58.5
05/08/2023,15:50:00,133,4.24,,,11.3,61,0.0,0.2106,58.5
05/08/2023,16:00:00,131,3.33,,,10.6,65,0.0,0.1404,39.0
05/08/2023,16:10:00,131,3.33,,,10.6,65,0.0,0.1404,39.0
05/08/2023,16:20:00,131,3.33,,,10.6,65,0.0,0.1404,39.0
05/08/2023,16:30:00,131,3.33,,,10.6,65,0.0,0.1404,39.0
05/08/2023,16:40:00,131,3.33,,,10.6,65,0.0,0.1404,39.0
